load,value,error
700,0.002,0.00392
725,0.006,0.01176
750,0.006,0.00784
775,0.022,0.014402999687565088
800,0.024,0.014667296956153847
825,0.048,0.019988156493283716
850,0.06,0.04426303197929395
875,0.06,0.02147072425420251
900,0.08199999999999999,0.04443627347111816
925,0.152,0.04443627347111816
950,0.252,0.094893152545376
975,0.266,0.0778097783058145
1000,0.28600000000000003,0.03196663260338818
1025,0.47800000000000004,0.10323080160494738
1050,0.5900000000000001,0.09561907759437968
1075,0.6940000000000001,0.07951901407839512
1100,0.8619999999999999,0.11024891110573377
1125,1.0539999999999998,0.15113620876547085
1150,1.1260000000000001,0.10005603230190573
1175,1.294,0.09037279236584427
1200,1.43,0.15680000000000002
1225,1.722,0.11317196826069605
1250,1.794,0.1209178630310675
1275,2.08,0.1700801222953465
1300,2.352,0.19535212924357895
1325,2.506,0.12756573834694027
1350,2.63,0.2464461320451185
1375,2.892,0.24357682648396586
1400,3.1000000000000005,0.227731420756996
1425,3.304,0.21600942942381007
1450,3.406,0.17272482624104737
1475,3.75,0.17131790332595123
1500,3.8739999999999997,0.08908841451052976
1525,4.0680000000000005,0.15199796840747568
1550,4.308000000000001,0.24119948258650956
1575,4.512,0.26704955045833706
1600,4.806,0.18978630509075206
