load,value,error
600,-21.02561195185629,0.180820950145551
625,-20.703482506872945,0.08110038393949895
650,-20.509708106989642,0.07579423965887774
675,-20.06782776090589,0.1187053449371959
700,-19.821518553830344,0.047014553542808854
725,-19.532873534407265,0.07219169421136994
750,-19.022525904788935,0.07161157031545712
775,-18.611692917873018,0.051022058232186356
800,-18.431806306974174,0.022795944003483098
825,-18.12692991525171,0.062360160589608346
850,-17.515471505539832,0.11174031256766376
875,-17.233442162365037,0.13923388514580504
900,-17.225264592710353,0.0798506537721246
925,-17.02113325749988,0.05807125854674544
950,-16.61515000150792,0.03532489836134449
975,-16.392634051313703,0.06344882040568953
1000,-16.06763862711725,0.044784955213675086
