load,value,error
700,-16.258549290333878,0.05941098045490263
725,-15.746915005626963,0.12873668922995524
750,-15.59834451429277,0.0269310529412241
775,-15.30850801736873,0.02602406392380415
800,-14.807636534008202,0.14069379620718586
825,-14.985926216858584,0.12463087485146744
850,-14.467375068867502,0.06925219712456902
875,-14.260200830380121,0.05835155262911424
900,-13.999445721378358,0.04273187703866219
925,-13.654877618669538,0.09139407294976716
950,-13.808726585839118,0.09121837173101402
975,-13.370245758547107,0.05133967679994943
1000,-13.297787544008674,0.04742018967269422
1025,-13.02853694307262,0.09093539752447764
1050,-12.749432960404059,0.12284472925953478
1075,-12.715471307731715,0.02528038793328412
1100,-12.397915961569815,0.07840260276844675
1125,-12.41954167492161,0.04694068517659288
1150,-12.12576930531715,0.08006234871492011
1175,-12.050333559711547,0.05049577321601661
1200,-11.917772311464262,0.049093045595401216
