load,value,error
50,-48.11860245530566,3.9394662169214674
75,-30.297628301087084,0.34437764991581166
100,-24.428561863861127,0.25801672033271666
125,-20.860798043431657,0.16579373099588207
150,-18.736765975704287,0.15417758982790766
175,-17.118736075318964,0.13506143274506743
200,-15.540252682029363,0.08881506443509989
225,-14.959823167487604,0.15075588054600547
250,-14.166410700366585,0.08654199615440918
275,-13.482433182994683,0.05337003181524969
300,-13.151163145784581,0.04866474157437292
325,-12.571661104101661,0.12980998319998602
350,-12.784649111026624,0.026272818004367572
375,-12.400234698555309,0.024627622492984426
400,-12.170349228662971,0.09120445589213676
425,-12.057354988422485,0.05684861324967977
450,-11.841215120410002,0.1204999404517865
475,-11.550496419733058,0.09136250287807406
500,-11.627266787277168,0.07991669904741489
525,-11.52849374296684,0.055114783634153015
550,-11.213904441153113,0.21523198079535757
575,-11.221223695039935,0.15004249367505362
600,-11.069153045425523,0.16283483318602693
