load,value,error
50,-61.92999999999999,nan
50,-61.92999999999999,nan
50,-61.92999999999999,nan
50,-61.92999999999999,nan
50,-61.92999999999999,nan
50,-61.92999999999999,nan
50,-61.92999999999999,nan
50,-61.92999999999999,nan
50,-61.92999999999999,0.0
75,-61.92999999999999,0.0
100,-61.92999999999999,0.0
125,-61.92999999999999,0.0
150,-61.47997889369195,0.3636219128026373
175,-59.23905433632824,1.8799436810531631
200,-38.049890832464655,1.4555094047435282
225,-33.53399325449499,1.3533209560719297
250,-30.097676035925602,1.0395784846094027
275,-29.299816445338422,0.7004850242417628
300,-27.073026266468506,0.5617551520379853
325,-27.126785693241857,0.4407585684414373
350,-25.072425482408804,0.1167998683829713
375,-25.003416362576708,0.19640167534538602
400,-23.350673806394113,0.37702961101605753
425,-22.710448870381867,0.12650977327501942
