load,value,error
50,-55.88420149889448,4.4741327570225495
75,-40.75044564162323,0.7539114472714914
100,-28.35019790201396,0.13071035744013992
125,-23.77355130459771,0.37577526345108864
150,-20.871113852081592,0.2753030232628138
175,-18.604954987800944,0.027415836933611628
200,-17.15481083605247,0.09767095109988502
225,-15.767621298675715,0.1464437528706856
250,-14.990924724967547,0.0717122936632392
275,-13.967606919991042,0.05953929175862298
300,-13.242763387634469,0.10070941979820086
325,-13.074444957850854,0.0587629423062616
350,-12.680912451305986,0.023781764804717265
375,-12.30662293655547,0.05330446436548035
400,-12.045089490033135,0.09428271970594441
425,-11.915636338362763,0.03635319172912546
450,-11.7368344267692,0.028291975798912395
475,-11.805374610514987,0.07826386086897345
500,-11.6691933847616,0.021048986851431833
525,-11.506073111378257,0.056072218903015954
550,-11.422743245991754,0.08566217010417354
575,-11.22736328969459,0.03621655868353757
600,-11.24844325708266,0.058260655663957786
