load,value,error
50,-31.945958446398933,0.09930120849162627
75,-28.55061395531478,0.11489348913485377
100,-26.418603376397655,0.018454332630985185
125,-24.852310701783242,0.19054112983000995
150,-23.690327824104394,0.035642080432736714
175,-22.479799112346527,0.08891683262063317
200,-21.048870505526803,0.13376644609501806
225,-19.204500114204215,0.2824938414041075
250,-16.90529762566366,0.2530251877474529
275,-15.20469777110735,0.16335944801495048
300,-13.918609541115607,0.047938195955725876
325,-12.844625524858245,0.05535114754448689
350,-12.690676922988864,0.06976142181132146
375,-12.150505462387438,0.0825316150822639
400,-12.078149515761423,0.12180333951573298
425,-11.616610642068485,0.02489600471058131
450,-11.284332991700358,0.08692306714041322
475,-11.312394919170544,0.0633625255140299
500,-11.235032495187365,0.05783418398677921
525,-10.914118735540669,0.10660890937530075
550,-11.116695045830252,0.0517846358859599
575,-10.989928078851825,0.08424580025751316
600,-10.791035701611406,0.0477988192773171
