load,value,error
50,-24.546081667068158,0.20687856906202293
75,-19.63257048154989,0.04269502654475323
100,-17.284118921471098,0.07271800473471318
125,-15.859543773167335,0.04193796958847433
150,-15.022486476590572,0.04433335923744377
175,-14.169871454574869,0.01105639585261919
200,-13.652695584668395,0.041193789182849
225,-13.278256087929615,0.06195654131407746
250,-12.757390066148155,0.049206756377917785
275,-12.544962967559005,0.019653722768081555
300,-12.231352212114146,0.04552528679650531
325,-12.034307594413097,0.05805005406502102
350,-11.644370330946801,0.039310629301895585
375,-11.329137928392154,0.062031355236953085
400,-11.16483580726939,0.02508819395862227
425,-11.040656737799853,0.05452108077787417
450,-10.818063037847399,0.019400772108613906
475,-10.752880643022287,0.05928730527012307
500,-10.296264758955022,0.08171322742572752
525,-10.192039754967466,0.09455255135777757
550,-10.081699125583889,0.10535620448223688
575,-10.094956673549051,0.04122401529819231
600,-9.93369165490852,0.12053123588597764
