load,value,error
500,0.6074962914568136,0.0013384656119196977
550,0.6173438976472578,0.0018958618854021825
600,0.631367510914634,0.0024950629887792587
650,0.6395530692727187,0.0021282247865282416
700,0.6461463037603814,0.004048670176210929
750,0.6553474630119815,0.001330654078224727
800,0.6577341112040441,0.001989099555385871
850,0.6653241039147394,0.001031915826797635
900,0.6729797688325192,0.0031349651467842774
950,0.6764522521473609,0.0028793745095300497
1000,0.6758226813264305,0.0010289858418815604
