load,value,error
500,0.6095155789599597,0.0019216828402279591
550,0.620910099378499,0.003422257585604171
600,0.6289557453387629,0.001732987757493306
650,0.6412020360254705,0.0026440971660514705
700,0.6507316906733546,0.0022736595691564675
750,0.6570304238942587,0.0028834175857280426
800,0.6598250816657,0.0025357123661492
850,0.6664652773550094,0.002812271586654517
900,0.668716057718922,0.0020845623636361757
950,0.6750656876188451,0.0013947280009372015
1000,0.6793961013040322,0.004613213844958728
