load,value,error
50,0.07375131529468265,nan
50,0.06513202185821233,nan
50,0.04669086899690347,nan
50,0.06735394472254311,nan
50,0.045906215516509634,nan
50,0.058293291853074455,nan
50,0.0628155251359391,nan
50,0.06709417402985364,nan
50,0.11724213013052223,0.0011244426711031227
75,0.15784931932924562,0.0009727500553338588
100,0.19072433127016492,0.002106720508811566
125,0.2189380450507426,0.001412157858912756
150,0.24168107015453538,0.001572598068091296
175,0.2640128757455272,0.0011185705714403798
200,0.28174888334328296,0.0015250347506761196
225,0.3008144637782878,0.0014892770695764171
250,0.3169257449440927,0.0023446424340279764
275,0.3320095266152395,0.0031627046049905673
300,0.34758432083167456,0.002648572894275198
325,0.36045884393124,0.002098180852443675
350,0.37326838468589213,0.0023163792638172345
375,0.3847079049026627,0.0016998194257458598
400,0.395698698430962,0.002107923706834168
425,0.40498413887644136,0.002139309254698153
